disease,question,label
diabetes,what is diabetes?,diabetes definition
diabetes,Tell me about diabetes?,diabetes definition
diabetes,What kind of disease is diabetes?,diabetes definition
diabetes,Can you elaborate on diabetes?,diabetes definition
diabetes,What can you tell me about diabetes?,diabetes definition
diabetes,Could you describe what diabetes is?,diabetes definition
diabetes,What information do you have on diabetes?,diabetes definition
diabetes,Could you provide information on diabetes?,diabetes definition
diabetes,What are the usual symptoms of diabetes?,diabetes symptoms
diabetes,What are the typical symptoms of diabetes?,diabetes symptoms
diabetes,What symptoms can indicate diabetes?,diabetes symptoms
diabetes,What should I watch for if someone is at risk of diabetes based on their symptoms?,diabetes symptoms
diabetes,What are the common symptoms for diabetes?,diabetes symptoms
diabetes,Could you describe the telltale signs and symptoms of diabetes?,diabetes symptoms
diabetes,"If someone suspects they have diabetes, what symptoms should they be mindful of?",diabetes symptoms
diabetes,Any symptoms that might suggest diabetes?,diabetes symptoms
diabetes,What symptoms are often associated with diabetes?,diabetes symptoms
diabetes,What are the symptoms someone might have if they have diabetes?,diabetes symptoms
diabetes,causes of diabetes?,diabetes causes
diabetes,causes for diabetes?,diabetes causes
diabetes,What causes diabetes?,diabetes causes
diabetes,What is the cause of diabetes?,diabetes causes
diabetes,Can you explain the causes of diabetes?,diabetes causes
diabetes,What are the main causes of diabetes?,diabetes causes
diabetes,What causes the onset of diabetes?,diabetes causes
diabetes,Can you tell me what causes diabetes?,diabetes causes
diabetes,What are the primary causes of diabetes?,diabetes causes
diabetes,How does diabetes is caused?,diabetes causes
diabetes,How is diabetes caused?,diabetes causes
diabetes,What are the potential risk factors associated with diabetes?,diabetes risks
diabetes,Who is most likely to be at risk for diabetes?,diabetes risks
diabetes,What factors could increase my risk of developing diabetes?,diabetes risks
diabetes,What are the known risk factors that contribute to the development of diabetes?,diabetes risks
diabetes,Who is generally considered at risk for contracting diabetes?,diabetes risks
diabetes,What conditions or behaviors might increase the risk of getting diabetes?,diabetes risks
diabetes,What are the common risk factors linked with diabetes?,diabetes risks
diabetes,Who is typically at a higher risk for developing diabetes?,diabetes risks
diabetes,Are there any known risk factors that make someone more susceptible to diabetes?,diabetes risks
diabetes,What are the main risk factors that could lead to diabetes?,diabetes risks
diabetes,Who is generally more at risk for experiencing diabetes?,diabetes risks
diabetes,What are the possible complications that could arise from diabetes?,diabetes complications
diabetes,Are there any known complications associated with diabetes?,diabetes complications
diabetes,Can diabetes lead to any serious complications?,diabetes complications
diabetes,What potential complications should I be aware of if I have diabetes?,diabetes complications
diabetes,Are there any risks of complications from diabetes?,diabetes complications
diabetes,What are the common complications seen in patients with diabetes?,diabetes complications
diabetes,What are the long-term complications of diabetes?,diabetes complications
diabetes,Are there any severe complications that can result from diabetes?,diabetes complications
