disease,label,answer
diabetes,diabetes definition,"Diabetes mellitus is a metabolic disease that causes high blood sugar. Your body either doesn�t make enough insulin or can�t effectively use the insulin it makes.
The hormone insulin moves sugar from the blood into your cells to be stored or used for energy. If this malfunctions, you may have diabetes.
Untreated high blood sugar from diabetes can damage your nerves, eyes, kidneys, and other organs. But educating yourself about diabetes and taking steps to prevent or manage it can help you protect your health."
diabetes,diabetes symptoms,"Diabetes symptoms are caused by rising blood sugar.
General symptoms
The symptoms of type 1, type 2, and type 1.5 (LADA) are the same, but they occur in a shorter period than types 2 and 1.5. In type 2, the onset tends to be slower. Tingling nerves and slow-healing sores are more common in type 2.
Left untreated, type 1, in particular, can lead to diabetic ketoacidosis. This is when there is a dangerous level of ketones in the body. It�s less common in other types of diabetes, but still possible.
The general symptoms of diabetes include:
increased hunger
increased thirst
weight loss
frequent urination
blurry vision
extreme fatigue
sores that don�t heal
Symptoms in men
In addition to the general symptoms of diabetes, men with diabetes may have:
a decreased sex drive
erectile dysfunction
poor muscle strength
Symptoms in women
Women with diabetes can have symptoms such as:
vaginal dryness
urinary tract infections
yeast infections
dry, itchy skin
Gestational diabetes
Most people who develop gestational diabetes don�t have any symptoms. Healthcare professionals often detect the condition during a routine blood sugar test or oral glucose tolerance test, which is usually performed between the 24th and 28th weeks of pregnancy.
In rare cases, a person with gestational diabetes will also experience increased thirst or urination.
The bottom line
Diabetes symptoms can be so mild that they�re hard to spot at first. Learn which signs should prompt a trip to the doctor."
diabetes,diabetes causes,"Different causes are associated with each type of diabetes.
Type 1 diabetes
Doctors don�t know exactly what causes type 1 diabetes. For some reason, the immune system mistakenly attacks and destroys insulin-producing beta cells in the pancreas.
Genes may play a role in some people. It�s also possible that a virus sets off an immune system attack.
Type 2 diabetes
Type 2 diabetes stems from a combination of genetics and lifestyle factors. Having overweight or obesity increases your risk, too. Carrying extra weight, especially in your belly, makes your cells more resistant to the effects of insulin on your blood sugar.
This condition runs in families. Family members share genes that make them more likely to get type 2 diabetes and to be overweight.
Type 1.5 diabetes
Type 1.5 is an autoimmune condition that occurs when the pancreas is attacked by your own antibodies. as in type 1. It may be genetic, but more research is needed.
Gestational diabetes
Gestational diabetes occurs as the result of hormonal changes during pregnancy. The placenta produces hormones that make a pregnant person�s cells less sensitive to the effects of insulin. This can cause high blood sugar during pregnancy.
People who are overweight when they get pregnant or who gain too much weight during pregnancy are more likely to get gestational diabetes.
The bottom line
Both genes and environmental factors play a role in triggering diabetes.
Get more information on the causes of diabetes."
diabetes,diabetes risks,"Certain factors increase your risk for diabetes.
Type 1 diabetes
You�re more likely to get type 1 diabetes if you�re a child or teenager, you have a parent or sibling with the condition, or you carry certain genes that are linked to the disease.
Type 2 diabetes
Your risk for type 2 diabetes increases if you:
are overweight
are age 45 or older
have a parent or sibling with the condition
aren�t physically active
have had gestational diabetes
have prediabetes
have high blood pressure, high cholesterol, or high triglycerides
Type 2 diabetes also disproportionately affects certain racial and ethnic populations.
Adults who have African American, Hispanic or Latino American, or Asian American ancestry are more likely to be diagnosed with type 2 diabetes than white adults, according to 2016 research. They�re also more likely to experience decreased quality of care and increased barriers to self-management.
Type 1.5 diabetes
Type 1.5 diabetes is found in adults over 30 and is often mistaken for type 2, but people with this condition are not necessarily overweight, and oral medications and lifestyle changes have no effect.
Gestational diabetes
Your risk for gestational diabetes increases if you:
are overweight
are over age 25
had gestational diabetes during a past pregnancy
have given birth to a baby weighing more than 9 pounds
have a family history of type 2 diabetes
have polycystic ovary syndrome (PCOS)
The bottom line
Your family history, environment, and preexisting medical conditions can all affect your odds of developing diabetes.
Find out which risks you can control and which ones you can�t."
diabetes,diabetes complications,"High blood sugar damages organs and tissues throughout your body. The higher your blood sugar is and the longer you live with it, the greater your risk for complications.
Complications associated with diabetes include:
heart disease, heart attack, and stroke
neuropathy
nephropathy
retinopathy and vision loss
hearing loss
foot damage, such as infections and sores that don�t heal
skin conditions, such as bacterial and fungal infections
depression
dementia
Gestational diabetes
Unmanaged gestational diabetes can lead to problems that affect both the mother and baby. Complications affecting the baby can include:
premature birth
higher-than-typical weight at birth
increased risk for type 2 diabetes later in life
low blood sugar
jaundice
stillbirth
A pregnant person with gestational diabetes can develop complications such as high blood pressure (preeclampsia) or type 2 diabetes. You may also require cesarean delivery, commonly referred to as a C-section.
The risk of gestational diabetes in future pregnancies also increases.
The bottom line
Diabetes can lead to serious medical complications, but you can manage the condition with medications and lifestyle changes.
Avoid the most common diabetes complications with these helpful tips.
HEALTHLINE RESOURCE
Eating well for diabetes, simplified � in just 10 mins
Our free weekly micro-lessons can empower you with wisdom you need to make healthy changes for your diabetes. Short and easy to follow tips for the week ahead.
SIGN UP NOW
Also sign up for our popular Type 2 Diabetes newsletter.
Your privacy is important to us"
diabetes,diabetes treatment,"Doctors treat diabetes with a few different medications. Some are taken by mouth, while others are available as injections.
Type 1 and 1.5 diabetes
Insulin is the main treatment for type 1 and 1.5 diabetes. It replaces the hormone your body isn�t able to produce.
Various types of insulin are commonly used by people with type 1 and 1.5 diabetes. They differ in how quickly they start to work and how long their effects last:
Rapid-acting insulin: starts to work within 15 minutes and its effects last for 2 to 4 hours
Short-acting insulin: starts to work within 30 minutes and lasts 3 to 6 hours
Intermediate-acting insulin: starts to work within 2 to 4 hours and lasts 12 to 18 hours
Long-acting insulin: starts to work 2 hours after injection and lasts up to 24 hours
Ultra-long acting insulin: starts to work 6 hours after injection and lasts 36 hours or more
Premixed insulin: starts working within 15 to 30 minutes (depending on whether a rapid-acting or short-acting insulin is part of the mix) and lasts 10 to 16 hours
Type 2 diabetes
Diet and exercise can help some people manage type 2 diabetes. If lifestyle changes aren�t enough to lower your blood sugar, you�ll need to take medication.
These drugs lower your blood sugar in a variety of ways:
Drug How it works Examples
alpha-glucosidase inhibitors slow your body�s breakdown of sugars and starchy foods acarbose (Precose) and miglitol
biguanides reduce the amount of glucose your liver makes metformin (Glucophage, Riomet)
DPP-4 inhibitors improve your blood sugar without making it drop too low alogliptin (Nesina), linagliptin (Tradjenta), saxagliptin (Onglyza), and sitagliptin (Januvia)
glucagon-like peptides stimulate your pancreas to produce more insulin; slow stomach emptying semaglutide (Ozempic), dulaglutide (Trulicity), exenatide (Byetta), and liraglutide (Victoza)
meglitinides stimulate your pancreas to release more insulin nateglinide and repaglinide
SGLT2 inhibitors release more glucose into the urine canagliflozin (Invokana), dapagliflozin (Farxiga), and empagliflozin (Jardiance)
sulfonylureas stimulate your pancreas to release more insulin glyburide (Glynase), glipizide (Glucotrol), and glimepiride (Amaryl)
thiazolidinediones help insulin work better pioglitazone (Actos) and rosiglitazone
You may need to take more than one of these medications. Some people with type 2 diabetes also take insulin.
Gestational diabetes
If you receive a diagnosis of gestational diabetes, you�ll need to monitor your blood sugar level several times per day during pregnancy. If it�s high, dietary changes and exercise may be enough to bring it down.
Research has found that about 15% to 30%
of women who develop gestational diabetes will need insulin to lower their blood sugar. Insulin is safe for the developing baby.
The bottom line
The treatment regimen your doctor recommends will depend on the type of diabetes you have and its cause.
Check out this list of the various medications that are available to treat diabetes."
diabetes,diabetes diagnosis,"Anyone who has symptoms of diabetes or is at risk for the condition should be tested. People are routinely tested for gestational diabetes during their second trimester or third trimester of pregnancy.
Doctors use these blood tests to diagnose prediabetes and diabetes:
The fasting plasma glucose (FPG) test measures your blood sugar after you�ve fasted for 8 hours.
The A1C test provides a snapshot of your blood sugar levels over the previous 3 months.
A 75-gram oral glucose tolerance test is also used. This checks the BG 2 hours after ingesting a sugary drink containing 75 grams of carbs.
How to diagnose gestational diabetes
To diagnose gestational diabetes, your doctor will test your blood sugar levels between the 24th week and 28th week of pregnancy. There are two types of tests:
Glucose challenge test: During a glucose challenge test, your blood sugar is checked an hour after you drink a sugary liquid. If your results are standard, no more testing is done. If blood sugar levels are high, you�ll need to undergo a glucose tolerance test.
Glucose tolerance test: During a glucose tolerance test, your blood sugar is checked after you fast overnight. Then you�re given a sugary drink and your blood sugar is re-tested after 1 hour and again after 2 hours. Gestational diabetes is diagnosed if any of these three readings come back noting high blood sugar.
The earlier you are diagnosed with diabetes, the sooner you can start treatment. Find out whether you should get tested, and get more information on tests your doctor might perform.
If you don�t already have a primary care specialist, you can browse doctors in your area through the Healthline FindCare tool."
diabetes,diabetes prevention,"Type 1 and type 1.5 diabetes are not preventable because they are caused by an issue with the immune system. Some causes of type 2 diabetes, such as your genes or age, aren�t under your control either.
Yet many other diabetes risk factors are manageable. Most diabetes prevention strategies involve making simple adjustments to your diet and fitness routine.
If you�ve received a diagnosis of prediabetes, here are a few things you can do to delay or prevent type 2 diabetes:
Get at least 150 minutes per week of aerobic exercises like walking or cycling.
Cut saturated and trans fats, along with refined carbohydrates, out of your diet.
Eat more fruits, vegetables, and whole grains.
Eat smaller portions.
Try to lose 5% to 7%
of your body weight if you have overweight or obesity.
These aren�t the only ways to prevent diabetes. Discover more strategies that may help you avoid this chronic health condition."
depression mental or depressive disorder,depression mental or depressive disorder definition,"Major depressive disorder (MDD), or clinical depression, is a common mood disorder that can affect anyone. Its most prevalent symptom includes persistent sadness or irritability.
Sadness is a natural part of the human experience. People may feel sad or depressed when a loved one passes away or when they�re going through a life challenge, such as a divorce or serious illness.
These feelings are usually short-lived. When someone experiences persistent and intense feelings of sadness for extended periods, then they may have a mood disorder such as major depressive disorder (MDD)."
depression mental or depressive disorder,depression mental or depressive disorder symptoms,"A doctor or a mental health professional can diagnose MDD based on your symptoms, feelings, and behaviors.
Typically, you�ll be asked specific questions or given a questionnaire so health professionals can better determine whether you have MDD or another condition.
To be diagnosed with MDD, you need to meet the symptom criteria listed in the �Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5).� This manual helps medical professionals diagnose mental health conditions.
According to its criteria:
You must experience a change in your previous functioning.
Symptoms must occur for a period of 2 or more weeks.
At least one symptom is either depressed mood or loss of interest or pleasure.
You must also experience five or more of the following symptoms in the 2-week period:
You feel sad or irritable most of the day, nearly every day.
You�re less interested in most activities you once enjoyed.
You suddenly lose or gain weight or have a change in appetite.
You have trouble falling asleep or want to sleep more than usual.
You experience feelings of restlessness.
You feel unusually tired and have a lack of energy.
You feel worthless or guilty, often about things that wouldn�t usually make you feel that way.
You have difficulty concentrating, thinking, or making decisions.
You think about harming yourself or suicide.
Symptoms in different age groups
Symptoms in teens
Symptoms parents should be aware of in their teens include the following:
onset or increased use of substances (i.e., alcohol, smoking)
poorer academic performance
problems with peers
increased social withdrawal/isolation
Symptoms in older adults
Depression symptoms in older adults are similar to other age groups. It�s often the cause of physical pain in older adults that�s not explained by other medical conditions.
Depression is common
in people with Alzheimer�s and related dementias. It�s sometimes called geriatric depression.
Older adults with one chronic health condition are 80%
more at risk of developing depression than the average person, especially if their function becomes limited."
