disease,question,label
diabetes,what is diabetes? Tell me about diabetes? What kind of disease is diabetes? Can you elaborate on diabetes? What can you tell me about diabetes? Could you describe what diabetes is? I�d like to know more about diabetes. Can you help? What information do you have on diabetes? Could you provide information on diabetes?,diabetes definition
diabetes,"for diabetes, symptoms of diabetes?",diabetes symptoms
diabetes,"for diabetes, causes of diabetes?",diabetes causes
diabetes,"for diabetes, diabetes risk factors?",diabetes risks
diabetes,"for diabetes, diabetes complications?",diabetes complications
diabetes,"for diabetes, treatment of diabetes?",diabetes treatment
diabetes,"for diabetes, diabetes diagnosis?",diabetes diagnosis
diabetes,"for diabetes, diabetes prevention?",diabetes prevention
depression mental or depressive disorder,what is depression mental or depressive disorder? Tell me about depression mental or depressive disorder? What kind of disease is depression mental or depressive disorder? Can you elaborate on depression mental or depressive disorder? What can you tell me about depression mental or depressive disorder? Could you describe what depression mental or depressive disorder is? I�d like to know more about depression mental or depressive disorder. Can you help? What information do you have on depression mental or depressive disorder? Could you provide information on depression mental or depressive disorder?,depression mental or depressive disorder definition
depression mental or depressive disorder,"for depression mental or depressive disorder, what are the symptoms of major depressive disorder??",depression mental or depressive disorder symptoms
depression mental or depressive disorder,"for depression mental or depressive disorder, what causes major depressive disorder??",depression mental or depressive disorder causes
coronary arteriosclerosis or coronary heart disease,what is coronary arteriosclerosis or coronary heart disease? Tell me about coronary arteriosclerosis or coronary heart disease? What kind of disease is coronary arteriosclerosis or coronary heart disease? Can you elaborate on coronary arteriosclerosis or coronary heart disease? What can you tell me about coronary arteriosclerosis or coronary heart disease? Could you describe what coronary arteriosclerosis or coronary heart disease is? I�d like to know more about coronary arteriosclerosis or coronary heart disease. Can you help? What information do you have on coronary arteriosclerosis or coronary heart disease? Could you provide information on coronary arteriosclerosis or coronary heart disease?,coronary arteriosclerosis or coronary heart disease definition
coronary arteriosclerosis or coronary heart disease,"for coronary arteriosclerosis or coronary heart disease, coronary artery disease symptoms?",coronary arteriosclerosis or coronary heart disease symptoms
coronary arteriosclerosis or coronary heart disease,"for coronary arteriosclerosis or coronary heart disease, causes of coronary artery disease?",coronary arteriosclerosis or coronary heart disease causes
coronary arteriosclerosis or coronary heart disease,"for coronary arteriosclerosis or coronary heart disease, coronary artery disease risk factors?",coronary arteriosclerosis or coronary heart disease risks
coronary arteriosclerosis or coronary heart disease,"for coronary arteriosclerosis or coronary heart disease, coronary artery disease diagnosis?",coronary arteriosclerosis or coronary heart disease diagnosis
coronary arteriosclerosis or coronary heart disease,"for coronary arteriosclerosis or coronary heart disease, what is the treatment for cad??",coronary arteriosclerosis or coronary heart disease treatment
pneumonia,what is pneumonia? Tell me about pneumonia? What kind of disease is pneumonia? Can you elaborate on pneumonia? What can you tell me about pneumonia? Could you describe what pneumonia is? I�d like to know more about pneumonia. Can you help? What information do you have on pneumonia? Could you provide information on pneumonia?,pneumonia definition
pneumonia,"for pneumonia, symptoms?",pneumonia symptoms
pneumonia,"for pneumonia, causes?",pneumonia causes
pneumonia,"for pneumonia, diagnosis?",pneumonia diagnosis
pneumonia,"for pneumonia, treatment?",pneumonia treatment
pneumonia,"for pneumonia, complications?",pneumonia complications
pneumonia,"for pneumonia, prevention?",pneumonia prevention
asthma,what is asthma? Tell me about asthma? What kind of disease is asthma? Can you elaborate on asthma? What can you tell me about asthma? Could you describe what asthma is? I�d like to know more about asthma. Can you help? What information do you have on asthma? Could you provide information on asthma?,asthma definition
asthma,"for asthma, symptoms?",asthma symptoms
asthma,"for asthma, causes and triggers?",asthma causes
asthma,"for asthma, diagnosis and types?",asthma diagnosis
asthma,"for asthma, treatment?",asthma treatment
asthma,"for asthma, prevention and management?",asthma prevention
myocardial infarction,what is myocardial infarction? Tell me about myocardial infarction? What kind of disease is myocardial infarction? Can you elaborate on myocardial infarction? What can you tell me about myocardial infarction? Could you describe what myocardial infarction is? I�d like to know more about myocardial infarction. Can you help? What information do you have on myocardial infarction? Could you provide information on myocardial infarction?,myocardial infarction definition
myocardial infarction,"for myocardial infarction, what are the symptoms of acute myocardial infarction??",myocardial infarction symptoms
myocardial infarction,"for myocardial infarction, what causes acute myocardial infarction??",myocardial infarction causes
myocardial infarction,"for myocardial infarction, who is at risk for acute myocardial infarction??",myocardial infarction risks
myocardial infarction,"for myocardial infarction, how is acute myocardial infarction diagnosed??",myocardial infarction diagnosis
myocardial infarction,"for myocardial infarction, how can acute myocardial infarction be prevented??",myocardial infarction prevention
dementia,what is dementia? Tell me about dementia? What kind of disease is dementia? Can you elaborate on dementia? What can you tell me about dementia? Could you describe what dementia is? I�d like to know more about dementia. Can you help? What information do you have on dementia? Could you provide information on dementia?,dementia definition
dementia,"for dementia, dementia signs and symptoms?",dementia symptoms
dementia,"for dementia, what causes dementia??",dementia causes
dementia,"for dementia, dementia treatment?",dementia treatment
dementia,"for dementia, dementia prevention?",dementia prevention
hypothyroidism,what is hypothyroidism? Tell me about hypothyroidism? What kind of disease is hypothyroidism? Can you elaborate on hypothyroidism? What can you tell me about hypothyroidism? Could you describe what hypothyroidism is? I�d like to know more about hypothyroidism. Can you help? What information do you have on hypothyroidism? Could you provide information on hypothyroidism?,hypothyroidism definition
hypothyroidism,"for hypothyroidism, what are the signs and symptoms of hypothyroidism??",hypothyroidism symptoms
hypothyroidism,"for hypothyroidism, what causes hypothyroidism??",hypothyroidism causes
hypothyroidism,"for hypothyroidism, what are the risk factors of hypothyroidism??",hypothyroidism risks
hypothyroidism,"for hypothyroidism, how is hypothyroidism diagnosed??",hypothyroidism diagnosis
hypothyroidism,"for hypothyroidism, what alternative treatments may help hypothyroidism??",hypothyroidism treatment
hypothyroidism,"for hypothyroidism, what are the complications of hypothyroidism??",hypothyroidism complications
malignant neoplasms or primary malignant neoplasm,what is malignant neoplasms or primary malignant neoplasm? Tell me about malignant neoplasms or primary malignant neoplasm? What kind of disease is malignant neoplasms or primary malignant neoplasm? Can you elaborate on malignant neoplasms or primary malignant neoplasm? What can you tell me about malignant neoplasms or primary malignant neoplasm? Could you describe what malignant neoplasms or primary malignant neoplasm is? I�d like to know more about malignant neoplasms or primary malignant neoplasm. Can you help? What information do you have on malignant neoplasms or primary malignant neoplasm? Could you provide information on malignant neoplasms or primary malignant neoplasm?,malignant neoplasms or primary malignant neoplasm definition
malignant neoplasms or primary malignant neoplasm,"for malignant neoplasms or primary malignant neoplasm, what are the causes of neoplastic disease??",malignant neoplasms or primary malignant neoplasm causes
malignant neoplasms or primary malignant neoplasm,"for malignant neoplasms or primary malignant neoplasm, what are the symptoms of neoplastic disease??",malignant neoplasms or primary malignant neoplasm symptoms
malignant neoplasms or primary malignant neoplasm,"for malignant neoplasms or primary malignant neoplasm, how is neoplastic disease diagnosed??",malignant neoplasms or primary malignant neoplasm diagnosis
cellulitis,what is cellulitis? Tell me about cellulitis? What kind of disease is cellulitis? Can you elaborate on cellulitis? What can you tell me about cellulitis? Could you describe what cellulitis is? I�d like to know more about cellulitis. Can you help? What information do you have on cellulitis? Could you provide information on cellulitis?,cellulitis definition
cellulitis,"for cellulitis, what are the symptoms of cellulitis??",cellulitis symptoms
cellulitis,"for cellulitis, what causes cellulitis??",cellulitis causes
cellulitis,"for cellulitis, what are the risk factors for cellulitis??",cellulitis risks
cellulitis,"for cellulitis, how is cellulitis diagnosed??",cellulitis diagnosis
cellulitis,"for cellulitis, are there complications of cellulitis??",cellulitis complications
cellulitis,"for cellulitis, can you prevent cellulitis??",cellulitis prevention
gastroesophageal reflux disease,what is gastroesophageal reflux disease? Tell me about gastroesophageal reflux disease? What kind of disease is gastroesophageal reflux disease? Can you elaborate on gastroesophageal reflux disease? What can you tell me about gastroesophageal reflux disease? Could you describe what gastroesophageal reflux disease is? I�d like to know more about gastroesophageal reflux disease. Can you help? What information do you have on gastroesophageal reflux disease? Could you provide information on gastroesophageal reflux disease?,gastroesophageal reflux disease definition
gastroesophageal reflux disease,"for gastroesophageal reflux disease, symptoms?",gastroesophageal reflux disease symptoms
gastroesophageal reflux disease,"for gastroesophageal reflux disease, causes?",gastroesophageal reflux disease causes
gastroesophageal reflux disease,"for gastroesophageal reflux disease, diagnosis?",gastroesophageal reflux disease diagnosis
gastroesophageal reflux disease,"for gastroesophageal reflux disease, treatment?",gastroesophageal reflux disease treatment
gastroesophageal reflux disease,"for gastroesophageal reflux disease, complications?",gastroesophageal reflux disease complications
deep vein thrombosis,what is deep vein thrombosis? Tell me about deep vein thrombosis? What kind of disease is deep vein thrombosis? Can you elaborate on deep vein thrombosis? What can you tell me about deep vein thrombosis? Could you describe what deep vein thrombosis is? I�d like to know more about deep vein thrombosis. Can you help? What information do you have on deep vein thrombosis? Could you provide information on deep vein thrombosis?,deep vein thrombosis definition
deep vein thrombosis,"for deep vein thrombosis, symptoms?",deep vein thrombosis symptoms
deep vein thrombosis,"for deep vein thrombosis, is it a muscle cramp or a symptom of dvt??",deep vein thrombosis symptoms
deep vein thrombosis,"for deep vein thrombosis, diagnosis?",deep vein thrombosis diagnosis
deep vein thrombosis,"for deep vein thrombosis, treatment?",deep vein thrombosis treatment
deep vein thrombosis,"for deep vein thrombosis, other complications?",deep vein thrombosis complications
deep vein thrombosis,"for deep vein thrombosis, risk factors?",deep vein thrombosis risks
deep vein thrombosis,"for deep vein thrombosis, prevention?",deep vein thrombosis prevention
dehydration,what is dehydration? Tell me about dehydration? What kind of disease is dehydration? Can you elaborate on dehydration? What can you tell me about dehydration? Could you describe what dehydration is? I�d like to know more about dehydration. Can you help? What information do you have on dehydration? Could you provide information on dehydration?,dehydration definition
dehydration,"for dehydration, dehydration risk factors?",dehydration risks
dehydration,"for dehydration, how is dehydration diagnosed??",dehydration diagnosis
dehydration,"for dehydration, potential complications of untreated dehydration?",dehydration complications
dehydration,"for dehydration, how can i prevent dehydration??",dehydration prevention
neoplasm,what is neoplasm? Tell me about neoplasm? What kind of disease is neoplasm? Can you elaborate on neoplasm? What can you tell me about neoplasm? Could you describe what neoplasm is? I�d like to know more about neoplasm. Can you help? What information do you have on neoplasm? Could you provide information on neoplasm?,neoplasm definition
neoplasm,"for neoplasm, what are the causes of neoplastic disease??",neoplasm causes
