disease_label,url,heading
diabetes,https://www.healthline.com/health/diabetes,"Diabetes: Symptoms, Causes, Treatment, Prevention, and ..."
depression mental or depressive disorder,https://www.healthline.com/health/clinical-depression,"Depression Statistics: Types, Symptoms, Treatments & More"
coronary arteriosclerosis or coronary heart disease,https://www.healthline.com/health/coronary-artery-disease,"Coronary Artery Disease: Causes, Symptoms, and ..."
pneumonia,https://www.healthline.com/health/pneumonia,"Pneumonia: Symptoms, Causes, Treatment, and More"
asthma,https://www.healthline.com/health/asthma,"Asthma: Symptoms, Treatment, and Prevention - Healthline"
myocardial infarction,https://www.healthline.com/health/acute-myocardial-infarction,Myocardial Infarction (Heart Attack): Symptoms and More
anemia,https://www.healthline.com/health/anemia,"Anemia: Causes, Symptoms, Nutritional Requirements & More"
dementia,https://www.healthline.com/health/dementia,"What Is Dementia: Symptoms, Types, Diagnosis, and More"
hypothyroidism,https://www.healthline.com/health/hypothyroidism/symptoms-treatments-more,Hypothyroidism: Signs and Symptoms - Healthline
malignant neoplasms or primary malignant neoplasm,https://www.healthline.com/health/neoplastic-disease,"Neoplastic Disease: Causes, Types, Symptoms, and ..."
acquired immuno-deficiency syndrome or HIV or hiv infections,https://www.healthline.com/health/hiv-aids,"HIV and AIDS: Symptoms, Causes, Treatments, and More"
cellulitis,https://www.healthline.com/health/cellulitis,"Cellulitis: Treatments, Causes, Symptoms, and More - Healthline"
gastroesophageal reflux disease,https://www.healthline.com/health/gerd,Acid Reflux Symptoms: Common and Serious - Healthline
septicemia or systemic infection or sepsis (invertebrate),https://www.healthline.com/health/septicemia,"Septicemia: Vs. Sepsis, Causes, Symptoms, Treatment ..."
deep vein thrombosis,https://www.healthline.com/health/dvt-in-pregnancy,"DVT in Pregnancy: Prevention, Treatment, Symptoms, and ..."
dehydration,https://www.healthline.com/health/dehydration,"Dehydration: Causes, Symptoms, Treatment, and More"
neoplasm,https://www.healthline.com/health/neoplastic-disease,"Neoplastic Disease: Causes, Types, Symptoms, and ..."
embolism pulmonary,https://www.healthline.com/health/pulmonary-embolus,Pulmonary Embolism (Blood Clot in Lung): Symptoms and ...
epilepsy,https://www.healthline.com/health/seizures,"Seizures: Types, Causes, and Symptoms - Healthline"
cardiomyopathy,https://www.healthline.com/health/heart-disease/cardiomyopathy,"Cardiomyopathy: Symptoms, Types, Treatment, and Causes"
chronic kidney failure,https://www.healthline.com/health/chronic-kidney-failure,"Chronic Kidney Failure: Symptoms, Diagnosis, and ..."
carcinoma,https://www.healthline.com/health/basal-cell-carcinoma,"Basal Cell Carcinoma: Symptoms, Causes, and Treatment"
hepatitis C,https://www.healthline.com/health/acute-hepatitis-c,"Acute Hepatitis C: Causes, Symptoms, Treatments, and More"
peripheral vascular disease,https://www.healthline.com/health/peripheral-vascular-disease,"Poor Circulation: Symptoms, Causes, Treatment, and More"
psychotic disorder,https://www.healthline.com/health/psychosis,"Psychosis: Symptoms, Causes, and Risk Factors - Healthline"
hyperlipidemia,https://www.healthline.com/health/hyperlipidemia,"Hyperlipidemia: Causes, Symptoms, Diagnosis, Treatment"
bipolar disorder,https://www.healthline.com/health/bipolar-disorder,"Bipolar Depression: Symptoms, Diagnosis, and Treatment"
obesity,https://www.healthline.com/health/obesity,"Morbid Obesity: Causes, Symptoms and Complications"
ischemia,https://www.healthline.com/health/stroke/cerebral-ischemia,"Ischemic Stroke: Symptoms, Treatment, Recovery, and More"
cirrhosis,https://www.healthline.com/health/cirrhosis,"Cirrhosis: Incidence, Symptoms, and Treatment - Healthline"
benign prostatic hypertrophy,https://www.healthline.com/health/enlarged-prostate,"Benign prostatic hyperplasia: Treatment, symptoms, and ..."
arthritis,https://www.healthline.com/health/arthritis,"Arthritis: What it is, Symptoms, Causes, and More - Healthline"
bronchitis,https://www.healthline.com/health/bronchitis,"Acute Bronchitis: Causes, Symptoms, and Treatment - Healthline"
osteoporosis,https://www.healthline.com/health/osteoporosis-complications,"Osteoporosis Complications: Symptoms, Causes, and Risks"
transient ischemic attack,https://www.healthline.com/health/stroke/signs-symptoms-tia-mini-stroke,"Transient Ischemic Attack (TIA): Symptoms, Causes, and More"
adenocarcinoma,https://www.healthline.com/health/cancer/adenocarcinoma-symptoms,"Adenocarcinoma Lung Cancer: Symptoms, Causes ..."
pancreatitis,https://www.healthline.com/health/acute-pancreatitis,"Acute Pancreatitis: Causes, Symptoms, & Risks"
incontinence,https://www.healthline.com/health/stress-incontinence,"Stress Incontinence: Causes, Symptoms & Treatments"
hernia,https://www.healthline.com/health/hernia,"Hernia: Types, Symptoms, Causes, and More - Healthline"
malignant neoplasm of prostate or carcinoma prostate,https://www.healthline.com/health/prostate-cancer,"Stage 3 Prostate Cancer: Symptoms, Treatments, and More"
malignant neoplasm of breast or carcinoma breast,https://www.healthline.com/health/breast-cancer,"Breast Cancer: Symptoms, Stages, Types, and More - Healthline"
diverticulitis,https://www.healthline.com/health/diverticulitis,Diverticulitis Flare-Up: Symptoms and Risks - Healthline
osteomyelitis,https://www.healthline.com/health/osteomyelitis,Bone Infection (Osteomyelitis): Symptoms and Treatments
gastritis,https://www.healthline.com/health/gastritis,"Gastritis: Symptoms, Treatment, Causes, and More"
bacteremia,https://www.healthline.com/health/bacteremia,"Bacteremia: Causes, Symptoms, and Treatments - Healthline"
sickle cell anemia,https://www.healthline.com/health/sickle-cell-anemia,"Sickle Cell Anemia: Types, Symptoms, and Treatment"
